team;teamid;league
Flamengo Rio De Janeiro;614;Campeonato-Brasileiro-Serie-A
Corinthians Sao Paulo;199;Campeonato-Brasileiro-Serie-A
Esporte Clube Juventude;10492;Campeonato-Brasileiro-Serie-A
Club Athletico Paranaense;679;Campeonato-Brasileiro-Serie-A
Fortaleza Esporte Clube;10870;Campeonato-Brasileiro-Serie-A
Ceara Sporting Club;2029;Campeonato-Brasileiro-Serie-A
Se Palmeiras Sao Paulo;1023;Campeonato-Brasileiro-Serie-A
Fc Sao Paulo;585;Campeonato-Brasileiro-Serie-A
Nk Hrvatski Dragovoljac;485;Supersport-Hnl
Hnk Hajduk Split;447;Supersport-Hnl
Gnk Dinamo Zagreb;419;Supersport-Hnl
Hnk Gorica;24575;Supersport-Hnl
Nk Osijek;327;Supersport-Hnl
Hnk Rijeka;144;Supersport-Hnl
Nk Lokomotiva Zagreb;11194;Supersport-Hnl
Nk Istra 1961;999;Supersport-Hnl
Slaven Belupo Koprivnica;2362;Supersport-Hnl
Hnk Sibenik;223;Supersport-Hnl
1 Fc Heidenheim 1846;2036;2-Bundesliga
Fortuna Dusseldorf;38;2-Bundesliga
Fc St Pauli;35;2-Bundesliga
Karlsruher Sc;48;2-Bundesliga
Hamburger Sv;41;2-Bundesliga
Fc Erzgebirge Aue;94;2-Bundesliga
Fc Hansa Rostock;30;2-Bundesliga
Sv Werder Bremen;86;2-Bundesliga
Fc Schalke 04;33;2-Bundesliga
Sv Sandhausen;254;2-Bundesliga
Sc Paderborn 07;127;2-Bundesliga
Fc Ingolstadt 04;4795;2-Bundesliga
Holstein Kiel;269;2-Bundesliga
Sg Dynamo Dresden;129;2-Bundesliga
Ssv Jahn Regensburg;109;2-Bundesliga
Hannover 96;42;2-Bundesliga
1 Fc Nurnberg;4;2-Bundesliga
Sv Darmstadt 98;105;2-Bundesliga
Volos Nps;60949;Super-League-1
Ofi Kreta;653;Super-League-1
Apollon Smyrnis;441;Super-League-1
Pas Giannina;2671;Super-League-1
