Players;Values;POS;Team;ID;Num
Marius Briceag;0,5;Left-Back;Fc Voluntari;575217;6
Mihai Capatina;0,5;Central Midfield;Universitatea Craiova;292201;33
Adrian Balan;0,5;Centre-Forward;Fc Rapid 1923;223221;9
Antonio Sefer;0,5;Right Winger;Fc Rapid 1923;376571;7
Razvan Gradinaru;0,5;Midfield;Fc Dinamo;289256;21
Costinel Tofan;0,5;Right-Back;Acsc Fc Arges;394481;2
Damien Dussaut;0,5;Right-Back;Fc Viitorul Constan%C8%9Ba;205533;4
Marcelo Lopes;0,5;Left Winger;Fc Voluntari;608511;14
Andrei Pitian;0,5;Centre-Back;Afc Chindia Targoviste;301258;22
Jaja Silva;0,5;Left Winger;Fc Botosani;726092;17
Alin Dobrosavlevici;0,5;Centre-Back;Fc Viitorul Constan%C8%9Ba;213589;-
Paulo Vinicius;0,5;Centre-Back;Fcsb;45025;55
Eduard Radaslavescu;0,5;Midfield;Fc Viitorul Constan%C8%9Ba;731522;29
Mattias Kait;0,5;Midfield;Fc Rapid 1923;205227;14
Lukas Droppa;0,5;Defensive Midfield;Fc Voluntari;581447;66
Paul Papp;0,5;Centre-Back;Universitatea Craiova;112552;2
Dragos Nedelcu;0,5;Defensive Midfield;Fc Viitorul Constan%C8%9Ba;295868;16
Bogdan Rusu;0,5;Centre-Forward;Cs Mioveni;180015;90
Alexandru Mateiu;0,5;Central Midfield;Universitatea Craiova;64193;8
Marko Dugandzic;0,5;Centre-Forward;Cfr Cluj;225961;17
Stefan Ashkovski;0,5;Left Winger;Sepsi Osk Sf Gheorghe;134458;15
Andrei Dumiter;0,5;Centre-Forward;Fcsb;466722;13
Nicolae Carnat;0,45;Right Winger;Fc Rapid 1923;341140;8
Daniel Celea;0,45;Centre-Back;Afc Chindia Targoviste;442329;5
Andrei Tircoveanu;0,45;Central Midfield;Fc Botosani;271293;10
Andres Dumitrescu;0,45;Left-Back;Sepsi Osk Sf Gheorghe;547812;20
Florin Purece;0,45;Midfield;Fc Viitorul Constan%C8%9Ba;203059;30
Radoslav Dimitrov;0,45;Right-Back;Sepsi Osk Sf Gheorghe;134163;88
Philip Otele;0,45;Left Winger;Uta Arad;678655;17
Vlad Morar;0,45;Centre-Forward;Gaz Metan Media%C8%99;186031;-
Albert Stahl;0,45;Right Winger;Fc Rapid 1923;478022;29
