Players;Values;POS;Team;ID;Num
Jadsom;2,5;Defensive Midfield;Red Bull Bragantino;612162;5
Welington;2,5;Left-Back;Fc Sao Paulo;894531;34
Hulk;2,5;Centre-Forward;Clube Atletico Mineiro;80562;7
Lucas Crispim;2,5;Midfield;Fortaleza Esporte Clube;344626;10
Dylan Borrero;2,5;Right Winger;Clube Atletico Mineiro;662453;30
Guillermo Varela;2,5;Right-Back;Flamengo Rio De Janeiro;188862;2
Deyverson;2,5;Centre-Forward;Se Palmeiras Sao Paulo;243541;16
Ramon;2,5;Left-Back;Red Bull Bragantino;663578;6
Darlan;2,5;Defensive Midfield;Esporte Clube Juventude;570582;8
Sidcley;2,5;Left-Back;Cuiaba Ec Mt ;330060;21
Victor Sa;2,5;Left Winger;Botafogo Rio De Janeiro;381724;29
Gabriel;2,5;Defensive Midfield;Sc Internacional Porto Alegre;213606;23
Bruno Gomes;2,5;Defensive Midfield;Sc Internacional Porto Alegre;703322;32
Marcos Guilherme;2,5;Left Winger;Fc Sao Paulo;255989;95
Silvio Romero;2,5;Centre-Forward;Fortaleza Esporte Clube;88082;18
Joao Lucas;2,5;Right-Back;Cuiaba Ec Mt ;672292;2
Tche Tche;2,5;Central Midfield;Botafogo Rio De Janeiro;364261;6
Vinicius Zanocelo;2,5;Central Midfield;Fc Santos;646404;25
Ivan;2,5;Goalkeeper;Corinthians Sao Paulo;364257;1
Miguel Merentiel;2,5;Centre-Forward;Se Palmeiras Sao Paulo;481367;9
Jailson;2,5;Defensive Midfield;Se Palmeiras Sao Paulo;366948;30
Matheus Donelli;2,5;Goalkeeper;Corinthians Sao Paulo;708723;32
Gabriel Silva;2,5;Right Winger;Se Palmeiras Sao Paulo;627224;49
Bissoli;2,3;Centre-Forward;Avai Fc Sc ;553458;77
Andrey;2,3;Central Midfield;Coritiba Fc;351895;7
Biel;2,2;Left Winger;Fluminense Rio De Janeiro;875328;39
Jorge;2,2;Left-Back;Se Palmeiras Sao Paulo;345084;6
Kanu;2,2;Centre-Back;Botafogo Rio De Janeiro;524446;4
Calebe;2,2;Midfield;Clube Atletico Mineiro;798114;27
Caio Paulista;2,2;Right Winger;Fluminense Rio De Janeiro;601011;70
Paulo Victor;2,2;Left-Back;Sc Internacional Porto Alegre;875511;-
Gil;2,0;Centre-Back;Corinthians Sao Paulo;101469;4
Romulo;2,0;Centre-Forward;Club Athletico Paranaense;957874;35
Robert Arboleda;2,0;Centre-Back;Fc Sao Paulo;546212;5
Gabriel Noga;2,0;Centre-Back;Atletico Clube Goianiense;627215;14
Leo Cittadini;2,0;Central Midfield;Club Athletico Paranaense;187210;18
Arturo Vidal;2,0;Central Midfield;Flamengo Rio De Janeiro;37666;32
Thiago Galhardo;2,0;Centre-Forward;Fortaleza Esporte Clube;186399;91
Fernando Sobral;2,0;Central Midfield;Ceara Sporting Club;350342;8
Gustavo Maia;2,0;Left Winger;Sc Internacional Porto Alegre;752560;77
Breno Lopes;2,0;Right Winger;Se Palmeiras Sao Paulo;542598;19
Mauricio;2,0;Midfield;Sc Internacional Porto Alegre;678439;27
David Luiz;2,0;Centre-Back;Flamengo Rio De Janeiro;46741;23
Carlos Palacios;2,0;Right Winger;Sc Internacional Porto Alegre;571219;-
David;2,0;Left Winger;Sc Internacional Porto Alegre;373189;17
Natanael;2,0;Right-Back;Coritiba Fc;740295;16
Mikael;2,0;Centre-Forward;Sc Internacional Porto Alegre;642689;32
Marcos Felipe;2,0;Goalkeeper;Fluminense Rio De Janeiro;283166;1
Erick;2,0;Defensive Midfield;Club Athletico Paranaense;633212;26
Cristiano;2,0;Left-Back;Fluminense Rio De Janeiro;375813;15
Miguel;2,0;Midfield;Red Bull Bragantino;662338;30
Jemerson;2,0;Centre-Back;Clube Atletico Mineiro;258254;34
Marrony;2,0;Right Winger;Fluminense Rio De Janeiro;599879;16
Joao Moreira;2,0;Right-Back;Fc Sao Paulo;552240;30
Igor Vinicius;2,0;Right-Back;Fc Sao Paulo;662326;2
Alex Santana;2,0;Central Midfield;Club Athletico Paranaense;219835;38
Sidnei;2,0;Centre-Back;Goias Ec;27374;12
Roni;2,0;Defensive Midfield;Corinthians Sao Paulo;725049;29
Raul;2,0;Defensive Midfield;Red Bull Bragantino;479587;23
Lucas Fernandes;2,0;Midfield;Botafogo Rio De Janeiro;430761;18
Murilo;2,0;Centre-Back;Se Palmeiras Sao Paulo;458710;26
Pedro Rocha;2,0;Left Winger;Fortaleza Esporte Clube;362844;32
Lucas Braga;2,0;Left Winger;Fc Santos;606850;30
Agustin Canobbio;2,0;Right Winger;Club Athletico Paranaense;457533;9
Marcelo Benevenuto;2,0;Centre-Back;Fortaleza Esporte Clube;476339;5
Lucas Ribeiro;2,0;Centre-Back;Ceara Sporting Club;371259;14
Johnny;1,8;Defensive Midfield;Sc Internacional Porto Alegre;689505;30
Reinaldo;1,8;Left-Back;Fc Sao Paulo;729264;6
Cassio;1,8;Goalkeeper;Corinthians Sao Paulo;50144;12
Peglow;1,8;Left Winger;Atletico Clube Goianiense;627227;21
Nonato;1,8;Central Midfield;Fluminense Rio De Janeiro;546172;8
German Cano;1,8;Centre-Forward;Fluminense Rio De Janeiro;54590;14
Yago Pikachu;1,8;Right-Back;Fortaleza Esporte Clube;265660;22
Caio Vidal;1,8;Right Winger;Sc Internacional Porto Alegre;815686;47
Marlon Freitas;1,7;Defensive Midfield;Atletico Clube Goianiense;364972;8
Andre Anderson;1,7;Midfield;Fc Sao Paulo;601577;28
Alef Manga;1,6;Left Winger;Coritiba Fc;612479;11
Moises;1,6;Left-Back;Sc Internacional Porto Alegre;368468;20
Jose Hurtado;1,5;Right-Back;Red Bull Bragantino;680506;34
Lucao;1,5;Goalkeeper;Red Bull Bragantino;412372;40
Marcinho;1,5;Right-Back;Club Athletico Paranaense;432967;5
Rafael;1,5;Right-Back;Botafogo Rio De Janeiro;61892;7
Tadeu;1,5;Goalkeeper;Goias Ec;258367;23
Thonny Anderson;1,5;Midfield;Coritiba Fc;561214;19
Romulo Otero;1,5;Midfield;Fortaleza Esporte Clube;177680;80
Benjamin Kuscevic;1,5;Centre-Back;Se Palmeiras Sao Paulo;340840;4
Matheus Peixoto;1,5;Centre-Forward;Ceara Sporting Club;518361;28
Marcal;1,5;Left-Back;Botafogo Rio De Janeiro;137745;21
Ze Roberto;1,5;Centre-Forward;Ceara Sporting Club;305428;63
Lucas Fasson;1,5;Centre-Back;Club Athletico Paranaense;729266;37
Junior Moraes;1,5;Centre-Forward;Corinthians Sao Paulo;52915;18
Bruninho;1,5;Centre-Forward;Red Bull Bragantino;668234;29
Fernandinho;1,5;Defensive Midfield;Club Athletico Paranaense;26267;5
Busanello;1,5;Left-Back;Esporte Clube Juventude;698742;90
Gustavo Mantuan;1,5;Left Winger;Corinthians Sao Paulo;814269;31
Erison;1,5;Centre-Forward;Botafogo Rio De Janeiro;787238;89
Marcos Rocha;1,5;Right-Back;Se Palmeiras Sao Paulo;75435;2
Camilo;1,5;Central Midfield;Cuiaba Ec Mt ;672202;5
Nahuel Ferraresi;1,5;Centre-Back;Fc Sao Paulo;872171;44
Pepe;1,5;Central Midfield;Cuiaba Ec Mt ;606716;-
Vinicius Balieiro;1,5;Defensive Midfield;Fc Santos;813108;17
Fabio Gomes;1,5;Centre-Forward;Clube Atletico Mineiro;548298;9
Alisson;1,5;Right Winger;Fc Sao Paulo;229736;12
Vina;1,5;Midfield;Ceara Sporting Club;106281;29
Lucas Beraldo;1,5;Centre-Back;Fc Sao Paulo;139867;35
Robson;1,5;Centre-Forward;Fortaleza Esporte Clube;161188;7
Mateus Sarara;1,5;Defensive Midfield;Avai Fc Sc ;874853;48
Richard;1,5;Defensive Midfield;Ceara Sporting Club;980462;25
David Duarte;1,5;Centre-Back;Fluminense Rio De Janeiro;373446;29
Dodo;1,5;Left-Back;Clube Atletico Mineiro;109038;6
Leo Baptistao;1,5;Striker;Fc Santos;221899;92
Matheus Vargas;1,5;Midfield;Fortaleza Esporte Clube;379198;20
Matheus Fernandes;1,5;Defensive Midfield;Club Athletico Paranaense;351892;6
Jonas Toro;1,5;Left Winger;Fc Sao Paulo;575375;44
Regis;1,4;Midfield;Coritiba Fc;272554;78
Ze Ricardo;1,4;Defensive Midfield;America Futebol Clube Mg ;476336;5
Lucas Kal;1,4;Defensive Midfield;America Futebol Clube Mg ;435489;21
Gabriel Novaes;1,4;Centre-Forward;Red Bull Bragantino;649055;35
Eder;1,4;Centre-Back;America Futebol Clube Mg ;375690;33
