Players;Values;POS;Team;ID;Num
Petrus Boumal;0,35;Defensive Midfield;Ujpest Fc;127074;5
Lorand Paszka;0,35;Left-Back;Ferencvaros Budapest;291976;23
Dino Besirovic;0,35;Midfield;Mez%C5%91Kovesd Zsory Fc;361772;10
Tamas Cseri;0,35;Midfield;Mez%C5%91Kovesd Zsory Fc;141594;24
Balazs Balogh;0,35;Central Midfield;Paksi Fc;159367;8
Jozsef Windecker;0,35;Defensive Midfield;Paksi Fc;162781;22
Dejan Drazic;0,35;Left Winger;Budapest Honved Fc;291247;9
Jakub Vojtus;0,35;Attacking Midfield;Mez%C5%91Kovesd Zsory Fc;104990;-
Janos Szabo;0,35;Left-Back;Paksi Fc;103079;30
Josip Spoljaric;0,35;Striker;Zalaegerszegi Te Fc;293196;50
Kristof Papp;0,325;Defensive Midfield;Paksi Fc;141628;21
Samy Bourard;0,325;Midfield;Mol Fehervar Fc;235230;-
Richard Nagy;0,3;Midfield;Paksi Fc;359216;28
Erik Kusnyir;0,3;Right-Back;Debreceni Vsc;525378;29
Tamas Markek;0,3;Goalkeeper;Puskas Akademia Fc;142479;24
David Grof;0,3;Goalkeeper;Debreceni Vsc;52723;99
Adam Bodi;0,3;Midfield;Debreceni Vsc;75154;27
Milan Mijatovic;0,3;Goalkeeper;Mtk Budapest;61297;1
Evandro;0,3;Left Winger;Mol Fehervar Fc;383637;20
Lukacs Bole;0,3;Midfield;Budapest Honved Fc;130775;21
Marko Petkovic;0,3;Right-Back;Budapest Honved Fc;156722;2
Norbert Szelpal;0,3;Centre-Back;Paksi Fc;424248;6
Oliver Tamas;0,3;Centre-Back;Paksi Fc;711452;5
Lamin Jallow;0,3;Centre-Forward;Mol Fehervar Fc;337310;30
Sinan Medgyes;0,3;Left-Back;Paksi Fc;229716;23
Dusan Pantelic;0,3;Central Midfield;Budapest Honved Fc;145563;35
Zinedine Machach;0,3;Central Midfield;Budapest Honved Fc;146143;6
Patrik Hidi;0,3;Defensive Midfield;Budapest Honved Fc;105501;8
Daniel Farkas;0,3;Right-Back;Mez%C5%91Kovesd Zsory Fc;169264;22
Arpad Tordai;0,3;Goalkeeper;Mez%C5%91Kovesd Zsory Fc;271294;96
Matej Cvetanoski;0,3;Left Winger;Gyirmot Fc Gy%C5%91R;401088;23
Branislav Sluka;0,3;Left-Back;Mtk Budapest;412639;17
Benjamin Cseke;0,3;Central Midfield;Mez%C5%91Kovesd Zsory Fc;259919;8
Roland Szolnoki;0,3;Right-Back;Puskas Akademia Fc;143365;22
Attila Mocsi;0,3;Centre-Back;Zalaegerszegi Te Fc;496996;37
Daniel Prosser;0,3;Centre-Forward;Mtk Budapest;148826;-
Mark Szecsi;0,3;Forward;Debreceni Vsc;183198;88
Gyorgy Komaromi;0,3;Left Winger;Puskas Akademia Fc;616945;97
Stefan Drazic;0,3;Centre-Forward;Mez%C5%91Kovesd Zsory Fc;138850;9
