Players;Values;POS;Team;ID;Num
Dennis Srbeny;1,0;Centre-Forward;Sc Paderborn 07;159239;18
Felix Klaus;1,0;Midfield;Fortuna Dusseldorf;89591;11
Julian Borner;0,9;Centre-Back;Hannover 96;45677;31
Daniel Heuer Fernandes;0,9;Goalkeeper;Hamburger Sv;84993;1
Steve Breitkreuz;0,9;Centre-Back;Ssv Jahn Regensburg;82735;23
Jasper van der Werff;0,9;Centre-Back;Sc Paderborn 07;322519;4
Kwasi Wriedt;0,9;Centre-Forward;Holstein Kiel;154819;18
Phil Neumann;0,9;Centre-Back;Holstein Kiel;265176;25
Jonas David;0,9;Centre-Back;Hamburger Sv;431848;34
Daniel O'Shaughnessy;0,9;Centre-Back;Karlsruher Sc;131967;5
Julian Justvan;0,9;Midfield;Sc Paderborn 07;324861;10
Guido Burgstaller;0,9;Centre-Forward;Fc St Pauli;49239;9
Cedric Teuchert;0,9;Centre-Forward;Hannover 96;207597;36
Felix Platte;0,9;Centre-Forward;Sc Paderborn 07;195782;36
Dominick Drexler;0,9;Midfield;Fc Schalke 04;53400;24
Daniel Ginczek;0,9;Centre-Forward;Fortuna Dusseldorf;79501;10
Dong-gyeong Lee;0,9;Midfield;Fc Schalke 04;558086;14
Christopher Schindler;0,9;Centre-Back;1 Fc Nurnberg;57842;16
Anssi Suhonen;0,9;Central Midfield;Hamburger Sv;433894;36
Yuya Osako;0,9;Centre-Forward;Sv Werder Bremen;108650;8
Oliver Husing;0,85;Centre-Back;1 Fc Heidenheim 1846;109436;5
Jan Gyamerah;0,8;Right-Back;Hamburger Sv;192840;2
Florian Kastenmeier;0,8;Goalkeeper;Fortuna Dusseldorf;255294;33
Filip Bilbija;0,8;Left Winger;Fc Ingolstadt 04;602796;35
Jakub Piotrowski;0,8;Defensive Midfield;Fortuna Dusseldorf;377243;8
Manuel Wintzheimer;0,8;Centre-Forward;Hamburger Sv;296429;19
Steven Skrzybski;0,8;Centre-Forward;Holstein Kiel;93827;14
Sebastian Stolze;0,8;Right Winger;Hannover 96;157927;22
Stephan Ambrosius;0,8;Centre-Back;Hamburger Sv;327536;35
Mathias Honsak;0,8;Left Winger;Sv Darmstadt 98;283497;18
Marvin Mehlem;0,8;Midfield;Sv Darmstadt 98;237226;6
Patrick Twumasi;0,8;Right Winger;Hannover 96;188651;-
Dario Dumic;0,8;Centre-Back;Sv Sandhausen;78818;3
Robin Yalcin;0,8;Defensive Midfield;Sc Paderborn 07;124422;13
Nicolai Rapp;0,8;Defensive Midfield;Sv Werder Bremen;185427;23
Visar Musliu;0,8;Centre-Back;Fc Ingolstadt 04;207623;16
Niklas Schmidt;0,8;Midfield;Sv Werder Bremen;275249;22
Salif Sane;0,8;Centre-Back;Fc Schalke 04;126534;26
Afeez Aremu;0,8;Defensive Midfield;Fc St Pauli;562409;14
Marius Lode;0,8;Centre-Back;Fc Schalke 04;223197;5
Philipp Ziereis;0,8;Centre-Back;Fc St Pauli;152627;4
Marius Gersbeck;0,8;Goalkeeper;Karlsruher Sc;196382;35
James Lawrence;0,8;Centre-Back;Fc St Pauli;272706;3
Dzenis Burnic;0,8;Defensive Midfield;1 Fc Heidenheim 1846;251295;20
Christian Mathenia;0,8;Goalkeeper;1 Fc Nurnberg;82361;26
Kerim Calhanoglu;0,8;Left-Back;Fc Schalke 04;553905;42
Kyoung-rok Choi;0,8;Midfield;Karlsruher Sc;290171;11
Simon Rhein;0,8;Defensive Midfield;Fc Hansa Rostock;284188;8
Merlin Rohl;0,8;Midfield;Fc Ingolstadt 04;608832;34
Christoph Kobald;0,8;Centre-Back;Karlsruher Sc;307509;22
Nikola Dovedan;0,8;Striker;1 Fc Nurnberg;120189;10
Carlo Boukhalfa;0,75;Central Midfield;Ssv Jahn Regensburg;329373;22
Toni Leistner;0,75;Centre-Back;Hamburger Sv;86916;-
Jannik Dehm;0,75;Right-Back;Hannover 96;211671;20
Marco Schuster;0,75;Defensive Midfield;Sc Paderborn 07;168186;6
Nicolas Kuhn;0,7;Right Winger;Fc Erzgebirge Aue;336012;11
Antonio Mance;0,7;Centre-Forward;Fc Erzgebirge Aue;225591;-
Cebio Soukou;0,7;Right Winger;Sv Sandhausen;85000;7
Svante Ingelsson;0,7;Midfield;Fc Hansa Rostock;321079;14
Luca Zander;0,7;Right-Back;Fc St Pauli;139278;19
Pascal Testroet;0,7;Centre-Forward;Sv Sandhausen;53521;37
Luka Krajnc;0,7;Centre-Back;Hannover 96;138584;32
Marcel Ritzmaier;0,7;Central Midfield;Sv Sandhausen;84162;22
Robert Leipertz;0,7;Right Winger;1 Fc Heidenheim 1846;119120;13
Benjamin Goller;0,7;Right Winger;Karlsruher Sc;388058;14
Ahmed Kutucu;0,7;Centre-Forward;Sv Sandhausen;452084;23
Ron-Robert Zieler;0,7;Goalkeeper;Hannover 96;21327;1
Roger Assale;0,7;Forward;Sv Werder Bremen;263183;15
Kai Proger;0,7;Right Winger;Sc Paderborn 07;223572;9
Adrian Fein;0,7;Defensive Midfield;Sg Dynamo Dresden;379979;14
Alexander Meyer;0,7;Goalkeeper;Ssv Jahn Regensburg;76158;1
Pascal Kopke;0,7;Forward;1 Fc Nurnberg;193877;20
Taylan Duman;0,7;Central Midfield;1 Fc Nurnberg;314214;8
Aleksandr Zhirov;0,7;Centre-Back;Sv Sandhausen;259849;2
Kevin Ehlers;0,7;Centre-Back;Sg Dynamo Dresden;447783;39
Victor Palsson;0,7;Midfield;Fc Schalke 04;97241;4
Marcel Schuhen;0,7;Goalkeeper;Sv Darmstadt 98;93651;1
Eren Dinkci;0,7;Centre-Forward;Sv Werder Bremen;645774;43
Philip Heise;0,7;Left-Back;Karlsruher Sc;112617;16
Emmanuel Iyoha;0,65;Left Winger;Fortuna Dusseldorf;314245;19
Robin Bormuth;0,65;Centre-Back;Karlsruher Sc;283286;32
Benedikt Saller;0,65;Right-Back;Ssv Jahn Regensburg;93552;6
Janik Bachmann;0,65;Central Midfield;Sv Sandhausen;327862;26
Dries Wouters;0,6;Defensive Midfield;Fc Schalke 04;249570;-
Nico Neidhart;0,6;Right-Back;Fc Hansa Rostock;158360;7
Martin Fraisl;0,6;Goalkeeper;Fc Schalke 04;277607;30
Lukas Frode;0,6;Midfield;Fc Hansa Rostock;153628;34
Nils Froling;0,6;Left Winger;Fc Hansa Rostock;532784;15
Reinhold Ranftl;0,6;Right-Back;Fc Schalke 04;83119;27
Kevin Broll;0,6;Goalkeeper;Sg Dynamo Dresden;161075;1
Mikkel Kaufmann;0,6;Centre-Forward;Hamburger Sv;545332;11
Hendrik Weydandt;0,6;Centre-Forward;Hannover 96;330223;9
Aaron Opoku;0,6;Left Winger;Hamburger Sv;344063;-
Blendi Idrizi;0,6;Midfield;Fc Schalke 04;283141;36
Patrick Drewes;0,6;Goalkeeper;Sv Sandhausen;94192;1
Danny Latza;0,6;Central Midfield;Fc Schalke 04;39025;8
Scott Kennedy;0,6;Centre-Back;Ssv Jahn Regensburg;418300;24
Jannik Huth;0,6;Goalkeeper;Sc Paderborn 07;160954;21
Nils Seufert;0,6;Central Midfield;Sv Sandhausen;279064;21
Kevin Muller;0,6;Goalkeeper;1 Fc Heidenheim 1846;43824;1
John Verhoek;0,6;Centre-Forward;Fc Hansa Rostock;75295;18
Timo Becker;0,6;Centre-Back;Fc Hansa Rostock;282349;2
Aaron Seydel;0,6;Centre-Forward;Sv Darmstadt 98;187499;22
Michael Sollbauer;0,6;Centre-Back;Sg Dynamo Dresden;74179;21
Nemanja Celic;0,6;Defensive Midfield;Sv Darmstadt 98;353899;43
Etienne Amenyido;0,6;Centre-Forward;Fc St Pauli;271103;27
Leon Guwara;0,6;Left-Back;Ssv Jahn Regensburg;201135;20
Soufiane Messeguem;0,6;Central Midfield;Fc Erzgebirge Aue;501087;18
Fabian Holland;0,6;Left-Back;Sv Darmstadt 98;54846;32
Florian Hartherz;0,6;Midfield;Fortuna Dusseldorf;93571;7
Finn Porath;0,6;Midfield;Holstein Kiel;241307;27
Lewis Holtby;0,6;Central Midfield;Holstein Kiel;55508;10
Thomas Dahne;0,6;Goalkeeper;Holstein Kiel;115979;21
Jonas Fohrenbach;0,6;Left-Back;1 Fc Heidenheim 1846;192169;19
Marco Komenda;0,6;Centre-Back;Holstein Kiel;335631;3
Lasse Sobiech;0,6;Centre-Back;Sv Darmstadt 98;79503;24
John-Patrick Strauss;0,6;Right-Back;Fc Erzgebirge Aue;237113;24
Nick Woltemade;0,6;Centre-Forward;Sv Werder Bremen;455661;29
Jan Elvedi;0,6;Centre-Back;Ssv Jahn Regensburg;322506;33
Simon Lorenz;0,55;Centre-Back;Holstein Kiel;278459;19
