team;league;league-id-tmarkt;league-instat;league-id-instat;teamid;url_sys
Fc Everton;Premier-League;GB1;England.PremierLeague;39;29;https://www.transfermarkt.com/Fc Everton/spielplan/verein/29/saison_id/2021/plus/1#ES1
Wolverhampton Wanderers;Premier-League;GB1;England.PremierLeague;39;543;https://www.transfermarkt.com/Wolverhampton Wanderers/spielplan/verein/543/saison_id/2021/plus/1#ES1
Brighton Amp Hove Albion;Premier-League;GB1;England.PremierLeague;39;1237;https://www.transfermarkt.com/Brighton Amp Hove Albion/spielplan/verein/1237/saison_id/2021/plus/1#ES1
Manchester United;Premier-League;GB1;England.PremierLeague;39;985;https://www.transfermarkt.com/Manchester United/spielplan/verein/985/saison_id/2021/plus/1#ES1
Fc Southampton;Premier-League;GB1;England.PremierLeague;39;180;https://www.transfermarkt.com/Fc Southampton/spielplan/verein/180/saison_id/2021/plus/1#ES1
West Ham United;Premier-League;GB1;England.PremierLeague;39;379;https://www.transfermarkt.com/West Ham United/spielplan/verein/379/saison_id/2021/plus/1#ES1
Aston Villa;Premier-League;GB1;England.PremierLeague;39;405;https://www.transfermarkt.com/Aston Villa/spielplan/verein/405/saison_id/2021/plus/1#ES1
Manchester City;Premier-League;GB1;England.PremierLeague;39;281;https://www.transfermarkt.com/Manchester City/spielplan/verein/281/saison_id/2021/plus/1#ES1
Leeds United;Premier-League;GB1;England.PremierLeague;39;399;https://www.transfermarkt.com/Leeds United/spielplan/verein/399/saison_id/2021/plus/1#ES1
Leicester City;Premier-League;GB1;England.PremierLeague;39;1003;https://www.transfermarkt.com/Leicester City/spielplan/verein/1003/saison_id/2021/plus/1#ES1
Fc Watford;Premier-League;GB1;England.PremierLeague;39;1010;https://www.transfermarkt.com/Fc Watford/spielplan/verein/1010/saison_id/2021/plus/1#ES1
Fc Liverpool;Premier-League;GB1;England.PremierLeague;39;31;https://www.transfermarkt.com/Fc Liverpool/spielplan/verein/31/saison_id/2021/plus/1#ES1
Fc Arsenal;Premier-League;GB1;England.PremierLeague;39;11;https://www.transfermarkt.com/Fc Arsenal/spielplan/verein/11/saison_id/2021/plus/1#ES1
Newcastle United;Premier-League;GB1;England.PremierLeague;39;762;https://www.transfermarkt.com/Newcastle United/spielplan/verein/762/saison_id/2021/plus/1#ES1
Tottenham Hotspur;Premier-League;GB1;England.PremierLeague;39;148;https://www.transfermarkt.com/Tottenham Hotspur/spielplan/verein/148/saison_id/2021/plus/1#ES1
Fc Burnley;Premier-League;GB1;England.PremierLeague;39;1132;https://www.transfermarkt.com/Fc Burnley/spielplan/verein/1132/saison_id/2021/plus/1#ES1
Fc Brentford;Premier-League;GB1;England.PremierLeague;39;1148;https://www.transfermarkt.com/Fc Brentford/spielplan/verein/1148/saison_id/2021/plus/1#ES1
Fc Chelsea;Premier-League;GB1;England.PremierLeague;39;631;https://www.transfermarkt.com/Fc Chelsea/spielplan/verein/631/saison_id/2021/plus/1#ES1
Norwich City;Premier-League;GB1;England.PremierLeague;39;1123;https://www.transfermarkt.com/Norwich City/spielplan/verein/1123/saison_id/2021/plus/1#ES1
Ural Ekaterinburg;Premier-Liga;RU1;Russia.PremierLeague;1;11127;https://www.transfermarkt.com/Ural Ekaterinburg/spielplan/verein/11127/saison_id/2021/plus/1#ES1
Fk Krasnodar;Premier-Liga;RU1;Russia.PremierLeague;1;16704;https://www.transfermarkt.com/Fk Krasnodar/spielplan/verein/16704/saison_id/2021/plus/1#ES1
Fk Rostov;Premier-Liga;RU1;Russia.PremierLeague;1;1083;https://www.transfermarkt.com/Fk Rostov/spielplan/verein/1083/saison_id/2021/plus/1#ES1
Arsenal Tula;Premier-Liga;RU1;Russia.PremierLeague;1;3729;https://www.transfermarkt.com/Arsenal Tula/spielplan/verein/3729/saison_id/2021/plus/1#ES1
Fk Khimki;Premier-Liga;RU1;Russia.PremierLeague;1;3719;https://www.transfermarkt.com/Fk Khimki/spielplan/verein/3719/saison_id/2021/plus/1#ES1
Krylya Sovetov Samara;Premier-Liga;RU1;Russia.PremierLeague;1;2696;https://www.transfermarkt.com/Krylya Sovetov Samara/spielplan/verein/2696/saison_id/2021/plus/1#ES1
CSKA Moscow;Premier-Liga;RU1;Russia.PremierLeague;1;2410;https://www.transfermarkt.com/Zska Moskau/spielplan/verein/2410/saison_id/2021/plus/1#ES1
Fk Sochi;Premier-Liga;RU1;Russia.PremierLeague;1;41231;https://www.transfermarkt.com/Fk Sochi/spielplan/verein/41231/saison_id/2021/plus/1#ES1
Rubin Kazan;Premier-Liga;RU1;Russia.PremierLeague;1;2698;https://www.transfermarkt.com/Rubin Kazan/spielplan/verein/2698/saison_id/2021/plus/1#ES1
Spartak Moskau;Premier-Liga;RU1;Russia.PremierLeague;1;232;https://www.transfermarkt.com/Spartak Moskau/spielplan/verein/232/saison_id/2021/plus/1#ES1
Dinamo Moskau;Premier-Liga;RU1;Russia.PremierLeague;1;121;https://www.transfermarkt.com/Dinamo Moskau/spielplan/verein/121/saison_id/2021/plus/1#ES1
Lokomotiv Moskau;Premier-Liga;RU1;Russia.PremierLeague;1;932;https://www.transfermarkt.com/Lokomotiv Moskau/spielplan/verein/932/saison_id/2021/plus/1#ES1
Fk Ufa;Premier-Liga;RU1;Russia.PremierLeague;1;28095;https://www.transfermarkt.com/Fk Ufa/spielplan/verein/28095/saison_id/2021/plus/1#ES1
Fk Nizhny Novgorod;Premier-Liga;RU1;Russia.PremierLeague;1;49702;https://www.transfermarkt.com/Fk Nizhny Novgorod/spielplan/verein/49702/saison_id/2021/plus/1#ES1
Akhmat Grozny;Premier-Liga;RU1;Russia.PremierLeague;1;3725;https://www.transfermarkt.com/Akhmat Grozny/spielplan/verein/3725/saison_id/2021/plus/1#ES1
Zenit St Petersburg;Premier-Liga;RU1;Russia.PremierLeague;1;964;https://www.transfermarkt.com/Zenit St Petersburg/spielplan/verein/964/saison_id/2021/plus/1#ES1
Rsc Anderlecht;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;58;https://www.transfermarkt.com/Rsc Anderlecht/spielplan/verein/58/saison_id/2021/plus/1#ES1
Royal Antwerpen Fc;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;1096;https://www.transfermarkt.com/Royal Antwerpen Fc/spielplan/verein/1096/saison_id/2021/plus/1#ES1
Oud Heverlee Leuven;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;2727;https://www.transfermarkt.com/Oud Heverlee Leuven/spielplan/verein/2727/saison_id/2021/plus/1#ES1
Krc Genk;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;1184;https://www.transfermarkt.com/Krc Genk/spielplan/verein/1184/saison_id/2021/plus/1#ES1
Vv St Truiden;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;475;https://www.transfermarkt.com/Vv St Truiden/spielplan/verein/475/saison_id/2021/plus/1#ES1
Royale Union Saint Gilloise;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;3948;https://www.transfermarkt.com/Royale Union Saint Gilloise/spielplan/verein/3948/saison_id/2021/plus/1#ES1
Rfc Seraing;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;2715;https://www.transfermarkt.com/Rfc Seraing/spielplan/verein/2715/saison_id/2021/plus/1#ES1
Sv Zulte Waregem;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;3508;https://www.transfermarkt.com/Sv Zulte Waregem/spielplan/verein/3508/saison_id/2021/plus/1#ES1
Kv Mechelen;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;354;https://www.transfermarkt.com/Kv Mechelen/spielplan/verein/354/saison_id/2021/plus/1#ES1
Rsc Charleroi;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;172;https://www.transfermarkt.com/Rsc Charleroi/spielplan/verein/172/saison_id/2021/plus/1#ES1
Kv Kortrijk;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;601;https://www.transfermarkt.com/Kv Kortrijk/spielplan/verein/601/saison_id/2021/plus/1#ES1
Kas Eupen;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;1245;https://www.transfermarkt.com/Kas Eupen/spielplan/verein/1245/saison_id/2021/plus/1#ES1
Kv Oostende;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;2861;https://www.transfermarkt.com/Kv Oostende/spielplan/verein/2861/saison_id/2021/plus/1#ES1
Cercle Brugge;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;520;https://www.transfermarkt.com/Cercle Brugge/spielplan/verein/520/saison_id/2021/plus/1#ES1
Beerschot V A ;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;41274;https://www.transfermarkt.com/Beerschot V A /spielplan/verein/41274/saison_id/2021/plus/1#ES1
Kaa Gent;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;157;https://www.transfermarkt.com/Kaa Gent/spielplan/verein/157/saison_id/2021/plus/1#ES1
Fc Brugge;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;2282;https://www.transfermarkt.com/Fc Brugge/spielplan/verein/2282/saison_id/2021/plus/1#ES1
Standard Luttich;Jupiler-Pro-League;BE1;Belgium.JupilerProLeague;45;3057;https://www.transfermarkt.com/Standard Luttich/spielplan/verein/3057/saison_id/2021/plus/1#ES1
Bristol City;Championship;GB2;England.Championship;105;698;https://www.transfermarkt.com/Bristol City/spielplan/verein/698/saison_id/2021/plus/1#ES1
Cardiff City;Championship;GB2;England.Championship;105;603;https://www.transfermarkt.com/Cardiff City/spielplan/verein/603/saison_id/2021/plus/1#ES1
Fc Millwall;Championship;GB2;England.Championship;105;1028;https://www.transfermarkt.com/Fc Millwall/spielplan/verein/1028/saison_id/2021/plus/1#ES1
Fc Barnsley;Championship;GB2;England.Championship;105;349;https://www.transfermarkt.com/Fc Barnsley/spielplan/verein/349/saison_id/2021/plus/1#ES1
Queens Park Rangers;Championship;GB2;England.Championship;105;1039;https://www.transfermarkt.com/Queens Park Rangers/spielplan/verein/1039/saison_id/2021/plus/1#ES1
Stoke City;Championship;GB2;England.Championship;105;512;https://www.transfermarkt.com/Stoke City/spielplan/verein/512/saison_id/2021/plus/1#ES1
West Bromwich Albion;Championship;GB2;England.Championship;105;984;https://www.transfermarkt.com/West Bromwich Albion/spielplan/verein/984/saison_id/2021/plus/1#ES1
Birmingham City;Championship;GB2;England.Championship;105;337;https://www.transfermarkt.com/Birmingham City/spielplan/verein/337/saison_id/2021/plus/1#ES1
Afc Bournemouth;Championship;GB2;England.Championship;105;989;https://www.transfermarkt.com/Afc Bournemouth/spielplan/verein/989/saison_id/2021/plus/1#ES1
Fc Reading;Championship;GB2;England.Championship;105;1032;https://www.transfermarkt.com/Fc Reading/spielplan/verein/1032/saison_id/2021/plus/1#ES1
Fc Blackpool;Championship;GB2;England.Championship;105;1181;https://www.transfermarkt.com/Fc Blackpool/spielplan/verein/1181/saison_id/2021/plus/1#ES1
Fc Middlesbrough;Championship;GB2;England.Championship;105;641;https://www.transfermarkt.com/Fc Middlesbrough/spielplan/verein/641/saison_id/2021/plus/1#ES1
Luton Town;Championship;GB2;England.Championship;105;1031;https://www.transfermarkt.com/Luton Town/spielplan/verein/1031/saison_id/2021/plus/1#ES1
Hull City;Championship;GB2;England.Championship;105;3008;https://www.transfermarkt.com/Hull City/spielplan/verein/3008/saison_id/2021/plus/1#ES1
Huddersfield Town;Championship;GB2;England.Championship;105;1110;https://www.transfermarkt.com/Huddersfield Town/spielplan/verein/1110/saison_id/2021/plus/1#ES1
Nottingham Forest;Championship;GB2;England.Championship;105;703;https://www.transfermarkt.com/Nottingham Forest/spielplan/verein/703/saison_id/2021/plus/1#ES1
Derby County;Championship;GB2;England.Championship;105;22;https://www.transfermarkt.com/Derby County/spielplan/verein/22/saison_id/2021/plus/1#ES1
Peterborough United;Championship;GB2;England.Championship;105;1072;https://www.transfermarkt.com/Peterborough United/spielplan/verein/1072/saison_id/2021/plus/1#ES1
Swansea City;Championship;GB2;England.Championship;105;2288;https://www.transfermarkt.com/Swansea City/spielplan/verein/2288/saison_id/2021/plus/1#ES1
Preston North End;Championship;GB2;England.Championship;105;466;https://www.transfermarkt.com/Preston North End/spielplan/verein/466/saison_id/2021/plus/1#ES1
Blackburn Rovers;Championship;GB2;England.Championship;105;164;https://www.transfermarkt.com/Blackburn Rovers/spielplan/verein/164/saison_id/2021/plus/1#ES1
Fc Fulham;Championship;GB2;England.Championship;105;931;https://www.transfermarkt.com/Fc Fulham/spielplan/verein/931/saison_id/2021/plus/1#ES1
Coventry City;Championship;GB2;England.Championship;105;990;https://www.transfermarkt.com/Coventry City/spielplan/verein/990/saison_id/2021/plus/1#ES1
Sheffield United;Championship;GB2;England.Championship;105;350;https://www.transfermarkt.com/Sheffield United/spielplan/verein/350/saison_id/2021/plus/1#ES1
Paris Fc;Ligue-2;FR2;France.Ligue2;110;10004;https://www.transfermarkt.com/Paris Fc/spielplan/verein/10004/saison_id/2021/plus/1#ES1
Fc Valenciennes;Ligue-2;FR2;France.Ligue2;110;1423;https://www.transfermarkt.com/Fc Valenciennes/spielplan/verein/1423/saison_id/2021/plus/1#ES1
Rodez Af;Ligue-2;FR2;France.Ligue2;110;11273;https://www.transfermarkt.com/Rodez Af/spielplan/verein/11273/saison_id/2021/plus/1#ES1
Quevilly Rouen Metropole;Ligue-2;FR2;France.Ligue2;110;7124;https://www.transfermarkt.com/Quevilly Rouen Metropole/spielplan/verein/7124/saison_id/2021/plus/1#ES1
Ac Le Havre;Ligue-2;FR2;France.Ligue2;110;738;https://www.transfermarkt.com/Ac Le Havre/spielplan/verein/738/saison_id/2021/plus/1#ES1
Ac Ajaccio;Ligue-2;FR2;France.Ligue2;110;1147;https://www.transfermarkt.com/Ac Ajaccio/spielplan/verein/1147/saison_id/2021/plus/1#ES1
Nimes Olympique;Ligue-2;FR2;France.Ligue2;110;1160;https://www.transfermarkt.com/Nimes Olympique/spielplan/verein/1160/saison_id/2021/plus/1#ES1
Pau Fc;Ligue-2;FR2;France.Ligue2;110;3166;https://www.transfermarkt.com/Pau Fc/spielplan/verein/3166/saison_id/2021/plus/1#ES1
Usl Dunkerque;Ligue-2;FR2;France.Ligue2;110;9202;https://www.transfermarkt.com/Usl Dunkerque/spielplan/verein/9202/saison_id/2021/plus/1#ES1
Sm Caen;Ligue-2;FR2;France.Ligue2;110;1162;https://www.transfermarkt.com/Sm Caen/spielplan/verein/1162/saison_id/2021/plus/1#ES1
Aj Auxerre;Ligue-2;FR2;France.Ligue2;110;290;https://www.transfermarkt.com/Aj Auxerre/spielplan/verein/290/saison_id/2021/plus/1#ES1
Amiens Sc;Ligue-2;FR2;France.Ligue2;110;1416;https://www.transfermarkt.com/Amiens Sc/spielplan/verein/1416/saison_id/2021/plus/1#ES1
As Nancy Lorraine;Ligue-2;FR2;France.Ligue2;110;1159;https://www.transfermarkt.com/As Nancy Lorraine/spielplan/verein/1159/saison_id/2021/plus/1#ES1
Grenoble Foot 38;Ligue-2;FR2;France.Ligue2;110;1290;https://www.transfermarkt.com/Grenoble Foot 38/spielplan/verein/1290/saison_id/2021/plus/1#ES1
Sc Bastia;Ligue-2;FR2;France.Ligue2;110;595;https://www.transfermarkt.com/Sc Bastia/spielplan/verein/595/saison_id/2021/plus/1#ES1
Fc Sochaux Montbeliard;Ligue-2;FR2;France.Ligue2;110;750;https://www.transfermarkt.com/Fc Sochaux Montbeliard/spielplan/verein/750/saison_id/2021/plus/1#ES1
